pay_period,pay_date,period_start,period_end,employee_id,full_name,role,filing_status,philly_resident,regular_pay,bonus_pay,gross_pay,ee_401k_deferral,ee_health_premium,fed_income_tax,social_security,medicare,additional_medicare,pa_state_tax,philly_wage_tax,pa_sui_employee,pa_lst,total_employee_taxes,total_pretax_deductions,net_pay,er_social_security,er_medicare,er_futa,er_suta,er_workers_comp,er_401k_safe_harbor,er_health_premium,total_employer_taxes,total_employer_cost
1,2024-01-05,2023-12-22,2024-01-04,EMP-009,Nathan Brooks,Associate,Single,Yes,7115.38,0.0,7115.38,0.0,95.0,1423.08,441.15,103.17,0.0,218.44,266.83,4.98,2.0,2459.65,95.0,4560.73,441.15,103.17,42.0,192.12,42.69,213.46,285.0,821.13,8434.97
1,2024-01-05,2023-12-22,2024-01-04,EMP-010,Aiden Park,Associate,Single,Yes,6634.62,0.0,6634.62,0.0,95.0,1326.92,411.35,96.2,0.0,203.68,248.8,4.64,2.0,2293.59,95.0,4246.03,411.35,96.2,39.81,179.13,39.81,199.04,285.0,766.3,7884.96
1,2024-01-05,2023-12-22,2024-01-04,EMP-011,Maya Reyes,Associate,MFJ,Yes,6153.85,0.0,6153.85,0.0,228.0,1230.77,381.54,89.23,0.0,188.92,230.77,4.31,2.0,2127.54,228.0,3798.31,381.54,89.23,36.92,166.15,36.92,184.62,684.0,710.76,7733.23
1,2024-01-05,2023-12-22,2024-01-04,EMP-012,Tomas Aguilar,Associate,MFJ,Yes,5673.08,0.0,5673.08,0.0,228.0,1134.62,351.73,82.26,0.0,174.16,212.74,3.97,2.0,1961.48,228.0,3483.6,351.73,82.26,34.04,153.17,34.04,170.19,684.0,655.24,7182.51
1,2024-01-05,2023-12-22,2024-01-04,EMP-013,Hannah Whitfield,Associate,MFJ,Yes,5192.31,0.0,5192.31,0.0,95.0,1038.46,321.92,75.29,0.0,159.4,194.71,3.63,2.0,1795.41,95.0,3301.9,321.92,75.29,31.15,140.19,31.15,155.77,285.0,599.7,6232.78
1,2024-01-05,2023-12-22,2024-01-04,EMP-015,Frederick Wagner,Of-Counsel,Single,No,9423.08,0.0,9423.08,0.0,228.0,2073.08,584.23,136.63,0.0,289.29,324.15,6.6,2.0,3415.98,228.0,5779.1,584.23,136.63,42.0,254.42,56.54,282.69,684.0,1073.82,11463.59
1,2024-01-05,2023-12-22,2024-01-04,EMP-014,Catherine Mbeki,Of-Counsel,Single,Yes,8269.23,0.0,8269.23,0.0,95.0,1819.23,512.69,119.9,0.0,253.87,310.1,5.79,2.0,3023.58,95.0,5150.65,512.69,119.9,42.0,223.27,49.62,248.08,285.0,947.48,9749.79
1,2024-01-05,2023-12-22,2024-01-04,EMP-016,Rebecca Tanaka,Paralegal,MFJ,Yes,3538.46,0.0,3538.46,212.31,90.0,432.4,219.38,51.31,0.0,108.63,132.69,2.48,2.0,948.89,302.31,2287.26,219.38,51.31,21.23,95.54,21.23,106.15,270.0,408.69,4323.3
1,2024-01-05,2023-12-22,2024-01-04,EMP-017,Leon Beaumont,Paralegal,MFJ,Yes,3269.23,0.0,3269.23,0.0,216.0,425.0,202.69,47.4,0.0,100.37,122.6,2.29,2.0,902.35,216.0,2150.88,202.69,47.4,19.62,88.27,19.62,98.08,648.0,377.6,4392.91
1,2024-01-05,2023-12-22,2024-01-04,EMP-018,Sofia Delgado,Paralegal,MFJ,No,3000.0,0.0,3000.0,0.0,90.0,390.0,186.0,43.5,0.0,92.1,103.2,2.1,2.0,818.9,90.0,2091.1,186.0,43.5,18.0,81.0,18.0,90.0,270.0,346.5,3706.5
1,2024-01-05,2023-12-22,2024-01-04,EMP-019,Tasha Williams,Legal Assistant,Single,Yes,2615.38,0.0,2615.38,0.0,192.0,287.69,162.15,37.92,0.0,80.29,98.08,1.83,2.0,669.96,192.0,1753.42,162.15,37.92,15.69,70.62,15.69,78.46,576.0,302.07,3571.91
1,2024-01-05,2023-12-22,2024-01-04,EMP-020,Jenna Foster,Legal Assistant,HOH,Yes,2480.77,0.0,2480.77,248.08,80.0,245.6,153.81,35.97,0.0,76.16,93.03,1.74,2.0,608.31,328.08,1544.38,153.81,35.97,14.88,66.98,14.88,74.42,240.0,286.52,3081.71
1,2024-01-05,2023-12-22,2024-01-04,EMP-021,Maria Iglesias,Legal Assistant,Single,Yes,2346.15,0.0,2346.15,140.77,80.0,242.59,145.46,34.02,0.0,72.03,87.98,1.64,2.0,585.72,220.77,1539.66,145.46,34.02,14.08,63.35,14.08,70.38,240.0,270.99,2927.52
1,2024-01-05,2023-12-22,2024-01-04,EMP-022,Devin Russo,Legal Assistant,MFJ,Yes,2230.77,0.0,2230.77,178.46,80.0,225.75,138.31,32.35,0.0,68.48,83.65,1.56,2.0,552.1,258.46,1420.21,138.31,32.35,13.38,60.23,13.38,66.92,240.0,257.65,2795.34
1,2024-01-05,2023-12-22,2024-01-04,EMP-023,Linda Pemberton,Administrative,HOH,Yes,2384.62,0.0,2384.62,0.0,80.0,262.31,147.85,34.58,0.0,73.21,89.42,1.67,2.0,611.04,80.0,1693.58,147.85,34.58,14.31,64.38,14.31,71.54,240.0,275.43,2971.59
1,2024-01-05,2023-12-22,2024-01-04,EMP-024,Karen Yoshida,Administrative,Single,Yes,2000.0,0.0,2000.0,0.0,80.0,220.0,124.0,29.0,0.0,61.4,75.0,1.4,2.0,512.8,80.0,1407.2,124.0,29.0,12.0,54.0,12.0,60.0,240.0,231.0,2531.0
1,2024-01-05,2023-12-22,2024-01-04,EMP-025,Anthony Castellanos,Bookkeeper,Single,Yes,3076.92,0.0,3076.92,0.0,90.0,430.77,190.77,44.62,0.0,94.46,115.38,2.15,2.0,880.15,90.0,2106.77,190.77,44.62,18.46,83.08,18.46,92.31,270.0,355.39,3794.62
2,2024-01-19,2024-01-05,2024-01-18,EMP-009,Nathan Brooks,Associate,Single,Yes,7115.38,0.0,7115.38,0.0,95.0,1423.08,441.15,103.17,0.0,218.44,266.83,4.98,2.0,2459.65,95.0,4560.73,441.15,103.17,0.0,77.88,42.69,213.46,285.0,664.89,8278.73
2,2024-01-19,2024-01-05,2024-01-18,EMP-010,Aiden Park,Associate,Single,Yes,6634.62,0.0,6634.62,0.0,95.0,1326.92,411.35,96.2,0.0,203.68,248.8,4.64,2.0,2293.59,95.0,4246.03,411.35,96.2,2.19,90.87,39.81,199.04,285.0,640.42,7759.08
2,2024-01-19,2024-01-05,2024-01-18,EMP-011,Maya Reyes,Associate,MFJ,Yes,6153.85,0.0,6153.85,0.0,228.0,1230.77,381.54,89.23,0.0,188.92,230.77,4.31,2.0,2127.54,228.0,3798.31,381.54,89.23,5.08,103.85,36.92,184.62,684.0,616.62,7639.09
2,2024-01-19,2024-01-05,2024-01-18,EMP-012,Tomas Aguilar,Associate,MFJ,Yes,5673.08,0.0,5673.08,0.0,228.0,1134.62,351.73,82.26,0.0,174.16,212.74,3.97,2.0,1961.48,228.0,3483.6,351.73,82.26,7.96,116.83,34.04,170.19,684.0,592.82,7120.09
2,2024-01-19,2024-01-05,2024-01-18,EMP-013,Hannah Whitfield,Associate,MFJ,Yes,5192.31,0.0,5192.31,0.0,95.0,1038.46,321.92,75.29,0.0,159.4,194.71,3.63,2.0,1795.41,95.0,3301.9,321.92,75.29,10.85,129.81,31.15,155.77,285.0,569.02,6202.1
